NUM_NS,SOMA_BASE_CR,DATA
1114277363,658558.59,15/08/2025
1123681419,16.76,15/08/2025
1138427416,66.41,15/08/2025
1143137167,0.0,15/08/2025
1144797256,7201.51,15/08/2025
1145208919,3265.0,15/08/2025
1147426839,0.0,15/08/2025
1147783831,29923.0,15/08/2025
1148780488,0.0,15/08/2025
1151494263,50.0,15/08/2025
1153170594,21706.18,15/08/2025
1154513246,28075.41,15/08/2025
1154894697,7917.339999999999,15/08/2025
1156191792,102217.93,15/08/2025
1157272305,222955.0,15/08/2025
1157494723,25410.4,15/08/2025
1159497578,26965.0,15/08/2025
1159843647,11477.67,15/08/2025
1160350381,156413.89,15/08/2025
1160845007,0.0,15/08/2025
1162090727,715635.66,15/08/2025
1163254007,3183.38,15/08/2025
1163254007,8232.0,15/08/2025
1163390102,210.73,15/08/2025
1163903805,8261.91,15/08/2025
1165650324,5810.0,15/08/2025
1165732961,20681.58,15/08/2025
1165776056,67635.0,15/08/2025
1166087186,28617.44,15/08/2025
1169711116,15242.66,15/08/2025
1170004519,0.0,15/08/2025
1170056403,19020.97,15/08/2025
1170231268,816047.63,15/08/2025
1171392628,6286.77,15/08/2025
1171458699,1151.02,15/08/2025
1171488635,30149.0,15/08/2025
1171893387,41659.42,15/08/2025
1172264147,13504.33,15/08/2025
1172542060,15696.0,15/08/2025
1172542883,24279.0,15/08/2025
1172602691,7898.39,15/08/2025
1172732782,93651.44,15/08/2025
1172832300,17265.06,15/08/2025
1172841151,17484.55,15/08/2025
1172914396,7167.92,15/08/2025
1172934540,30773.7,15/08/2025
1173174056,0.0,15/08/2025
1173622045,13200.2,15/08/2025
1173908598,18151.02,15/08/2025
1173995104,28298.58,15/08/2025
1174319480,29946.67,15/08/2025
1174436416,13376.45,15/08/2025
1174437245,16810.0,15/08/2025
1174486540,27269.0,15/08/2025
1174489253,2358.0,15/08/2025
1174579958,19760.89,15/08/2025
1174700167,16131.5,15/08/2025
1174836083,14004.22,15/08/2025
1174836683,19517.68,15/08/2025
1174964435,16371.67,15/08/2025
1174999541,69617.6,15/08/2025
1175248846,0.47,15/08/2025
1175316203,34104.0,15/08/2025
1175661951,30333.69,15/08/2025
1175704321,70776.0,15/08/2025
